file,error
C:\Users\user\Music\playlist\플레이리스트\(B)Bass drum sound effect.m4a,fingerprint가 너무 짧음(지원 안되는 포맷일 수 있음): C:\Users\user\Music\playlist\플레이리스트\(B)Bass drum sound effect.m4a
C:\Users\user\Music\playlist\플레이리스트\En McFly - All About You 고전 밝은 위로.mp3,"fpcalc 실패(2): C:\Users\user\Music\playlist\플레이리스트\En McFly - All About You 고전 밝은 위로.mp3
stderr: ERROR: Could not open the input file (Invalid argument)"
